id,kabupaten_id,skema,pemegang_izin,desa,kecamatan,nomor_sk,tanggal_sk,masa_berlaku,tanggal_berakhir_izin,nomor_pks,luas_ha,jenis_hutan,status_kawasan,rkps_status,peta_status,keterangan,fasilitator,jumlah_kk,created_at,updated_at
dc8dc61f-48f3-4420-ba0b-bb207413ac3f,KAPUAS,LPHD,BEROK TUNGGAL,TERUSAN RAYA,BATAGUH,Nomor: 11017 TAHUN 2024,30/8/2024,35 TAHUN,30/8/2059,07/Y.AMAL/PKS/KAPUAS/VIII/2025,339,GAMBUT,HL,tidak ada,ada,,AMAL,246,2026-01-08 01:46:59.725+00,2026-01-08 02:48:46.446302+00
bce3ce8e-cfe8-4a33-bb82-3e24c02e6969,KAPUAS,LPHD,TAMBAK BAJAI,TAMBAK BAJAI,DADAHUP,SK Gubernur KalTeng Nomor: 188.44/293/2016,9/5/2016,35 TAHUN,9/5/2051,02/Y.AMAL/PKS/KAPUAS/VIII/2025,"9,416",GAMBUT,HL,tidak ada,ada,,AMAL,82,2026-01-08 01:47:09.05+00,2026-01-08 02:48:43.149578+00
b25b8cea-58aa-4fde-a8fd-b6dd77c6d682,GUNUNG MAS,LPHD,KARETAU SARIAN,KARETAU SARIAN,DAMANG BATU,8296/MENLHK-PSKL/PKPS/PSL.0/12/2018,3 Des 2018,35 TAHUN,3 Des 2053,"06/Y,AMAL/PKS/GUMAS/VIII/2025",608.00,Mineral,HPT,ada,tidak ada,,AMAL,59,2026-01-08 01:46:56.9+00,2026-01-08 02:48:41.284436+00
4073b9e4-dbcb-498a-a0e9-50a1733e3840,GUNUNG MAS,HA,DAYAK OT DANUM LOWU KARETAU SARIAN,KARETAU SARIAN,DAMANG BATU,7914/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,,"21/Y,AMAL/PKS/GUMAS/VIII/2025","2,181.00",Mineral,------,ada,ada,,AMAL,69,2026-01-08 01:47:05.509+00,2026-01-08 02:48:47.614513+00
006d6342-228e-4b33-b9eb-9f10b475f136,GUNUNG MAS,HA,MHA DAYAK OT DANUM LOWU KARETAU RAMBANGUN,KARETAU RAMBANGUN,DAMANG BATU,7916/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"23/Y,AMAL/PKS/GUMAS/VIII/2025","2,956.00",Mineral,------,ada,ada,,AMAL,400,2026-01-08 01:47:06.415+00,2026-01-08 02:29:04.913979+00
d23accf0-0a58-475a-aec0-5b62ec8193be,GUNUNG MAS,LPHD,LAWANG KANJI,LAWANG KANJI,DAMANG BATU,8498/MENLHK-PSKL/PKPS/PSL.0/12/2018,10 Des 2018,35 TAHUN,10 Des 2053,"04/Y,AMAL/PKS/GUMAS/VIII/2025",299.00,Mineral,HPT,ada,ada,,AMAL,123,2026-01-08 01:47:05.957+00,2026-01-08 02:48:45.04773+00
5b21a716-d0e0-496c-a91a-f252a30344c5,GUNUNG MAS,HA,DAYAK OT DANUM LOWU LAWANG KANJI,LAWANG KANJI,DAMANG BATU,7920/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"24/Y,AMAL/PKS/GUMAS/VIII/2025","1,046.00",Mineral,------,ada,ada,,AMAL,181,2026-01-08 01:47:03.528+00,2026-01-08 02:48:47.798897+00
40e84b8f-d593-411a-bd44-122f0e491317,GUNUNG MAS,LPHD,TUMBANG MARAYA,TUMBANG  MARAYA,DAMANG BATU,8630/MENLHK-PSKL/PKPS/PSL.0/12/2018,17 Des 2018,35 TAHUN,17 Des 2053,"05/Y,AMAL/PKS/GUMAS/VIII/2025",334.00,Mineral,(HPT 266 Ha; HPK 68 Ha),tidak ada,ada,,AMAL,800,2026-01-08 01:47:10.77+00,2026-01-08 02:48:41.104369+00
b19cf5a6-f9ba-411f-b126-d98dbf889310,GUNUNG MAS,HA,DAYAK OT DANUM TUMBANG MARAYA,TUMBANG  MARAYA,DAMANG BATU,7921/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,,"25/Y,AMAL/PKS/GUMAS/VIII/2025",894.00,Mineral,------,ada,ada,,AMAL,77,2026-01-08 01:47:02.531+00,2026-01-08 02:48:40.505099+00
fdcb18bb-2f04-40b8-a870-4118ce9e5abd,GUNUNG MAS,HA,DAYAK OT DANUM LOWU TUMBANG POSU,TUMBANG  POSU,DAMANG BATU,7922/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"026/Y,AMAL/PKS/GUMAS/VIII/2025",996.00,Mineral,------,ada,ada,,AMAL,153,2026-01-08 01:47:05.346+00,2026-01-08 02:48:47.901804+00
2a4b703d-e45d-4cbd-b8d6-e846c0e514a0,GUNUNG MAS,HKM,ANOI SANGKUWAK,TUMBANG ANOI,DAMANG BATU,5919/MENLHK-PSKL/PKPS/PSL.0/9/2018,14/09/2018,35 TAHUN,14/09/2053,"13/Y,AMAL/PKS/GUMAS/VIII/2025",223.00,Mineral,HPK,tidak ada,ada,,AMAL,167,2026-01-08 01:47:04.201+00,2026-01-08 02:48:47.263633+00
694c75c4-ad78-4a9a-9964-2cec41a6daae,GUNUNG MAS,HA,MHA DAYAK OT DANUM LOWU TUMBANG ANOI,TUMBANG ANOI,DAMANG BATU,7915/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"22/Y,AMAL/PKS/GUMAS/VIII/2025","2,872.00",Mineral,------,ada,ada,,AMAL,61,2026-01-08 01:47:05.027+00,2026-01-08 02:48:47.990665+00
85dbf5e1-a4fd-4d89-b31a-0e08a1a9f6cd,GUNUNG MAS,HKM,SOPAN LAWANG BULAN,TUMBANG MAHUROI,DAMANG BATU,6179/MENLHK-PSKL/PKPS/PSL.0/9/2018,24/09/2018,35 TAHUN,24/09/2053,"12/Y,AMAL/PKS/GUMAS/VIII/2025",178.00,Mineral,HPT,tidak ada,ada,,AMAL,30,2026-01-08 01:47:02.372+00,2026-01-08 02:48:41.577566+00
1b688668-84f0-43e6-8c5e-bfb7bf021b7d,GUNUNG MAS,HKM,MARIKOI HAPAKAT,TUMBANG MARIKOI,DAMANG BATU,1277/MENLHK-PSKL/PKPS/PSL.0/3/2018,27/03/2018,35 TAHUN,27/03/2053,"10/Y,AMAL/PKS/GUMAS/VIII/2025",751.29,Mineral,HPT,tidak ada,ada,,AMAL,120,2026-01-08 01:47:04.869+00,2026-01-08 02:48:48.166289+00
